"Slug","Blog Title","Blog Text","Blog Introduction","Blog Picture","Blog Picture:alt","Date","Author"
"only-loving-things","Only Loving Things","<p>“<em>When we pray we enter the real world, the substance of the kingdom, and our bodies and souls begin to function for the first time as they were created to function</em>.” </p><p>- Dallas Willard</p><p><em>Father, Christ, and Holy Spirit</em></p><p><em>You are in me and all around me.</em></p><p><em>May you be lifted to the highest by my voice and by those all over the world.</em></p><p><em>Help me today to love all who come in my path. For you are love and I want to be like you. Be it a smile, a listening ear, a cup of cold water, may I ever do only loving things in your name. </em></p><p><em>Help me speak out for justice and to be alert to the needs of others that I don’t know well but need an advocate. Help me to be bothered when others’ rights are violated. Diffuse my hopelessness with joy and energy to press on in love through opposition. May I ever do only loving things in your name. </em></p><p><em>Help me to love those closest to me with encouragement, nearness, compassion, patience, and empowerment. Help me to speak to them of your indwelling and guidance when times are bleak. Help us as a family to see the ways You are at work in the world so that we can join You and encourage each other to do only loving things in your name. </em></p><p><em>Help me to look at every person all over the world no matter their religious, political, or economic backgrounds as a cherished creation of yours. Help me to root for and aid the underdog and to not care when others criticize or misunderstand me by my alignment with them. May I ever do only loving things in your name. </em></p><p><em>When I am quick to rolls my eyes, turn aside, and be unloving, please forgive me and guide me back to the path set before me. When I am angry, help me to channel it as a vaccine against apathy but away from destruction. When I am wrong, help me ask those I’ve wronged for forgiveness. And help me to forgive those who offend me and love them anyway. May I ever do only loving things in your name.</em></p><p><em>Amen.</em></p>","“When we pray we enter the real world, the substance of the kingdom, and our bodies and souls begin to function for the first time as they were created to function.” ","https://framerusercontent.com/images/ueRWBLW8TrFm1BUMrJQxCblckU.jpg","","2023-02-13T00:00:00.000Z","Andrea Tappe"
"steven-hovater","Steven Hovater","<p>Contentment is not often something that just happens to us. Nor is it like a switch that we can simply turn on when we wish. </p><p>Contentment must be cultivated. </p><p>The soil of our hearts may be too cluttered and unprepared for it to grow well…we may have some rocks to move or some weeds to pull. &nbsp;Or, perhaps there are too many dead and withered branches in our lives, and we have some pruning work to do to trim away some of the lifeless things. Maybe there’s a parasite, something sucking the spirit of contentment straight out from our soul. </p><p>Or perhaps contentment has grown, hidden from our awareness. Perhaps a quiet contented spirit has been taking shape within us. Perhaps just under the surface we can discover simple joy and satisfaction, and we are ready for a season of thanksgiving. &nbsp;</p><p>Today, let your prayers invite the spirit to help you explore your soul’s contentment. </p><p>Where are you now? </p><p>What remains restless and unsettled? </p><p>How is God leading you towards a contented life?<a href=""https://www.arcentralchurch.org/central-message/cjnnhiw7ja6ybr9m08u01jcp4yzaqn""><br></a></p>","Contentment is not often something that just happens to us. Nor is it like a switch that we can simply turn on when we wish. ","https://framerusercontent.com/images/t8m9273cfNnEglPu17G8b3Kgzc.jpg","","2023-02-12T00:00:00.000Z","Steven Hovater"
"prayer-entry","Prayer Entry","<p>I think for most of us, prayer is something we don’t do nearly enough. I know that for a long time, I really only prayed for my needs or the needs of my loved ones. Though I always thank God for all that he has done for me, mostly I just asked for things.</p><p>What guided me towards a difference in my prayer life was an initiative we as a church did several years ago. I think it was called 24 hours of prayer. I found that, in trying to pray for this amount of time, it became an ongoing chat with God, which is something I still practice. I make some long drives to do the volunteer work God has given me. I always ask that he take me there and back safely, and we have quite the conversations on the road. This would not be for everyone, but I stopped turning on the radio and I use this time to think, talk to God and listen.</p><p>Recently, we had a wonderful study on the Psalms. I always read them as a wonderfully poetic way to praise God, (not being much of a poet myself). But thanks to this study, I look at them in a whole new way, as prayers. Oddly enough when you read them as prayers, they sound and feel totally different.</p><p>Read Psalm 46 as a prayer and you’ll see what I mean:</p><p><em>Come, behold the works of the LORD;<br> &nbsp; &nbsp; &nbsp;see what desolations he has brought on the earth.<br> He makes wars cease to the end of the earth;<br> &nbsp; &nbsp; &nbsp;he breaks the bow, and shatters the spear;<br> &nbsp; &nbsp; &nbsp;he burns the shields with fire.<br> “Be still, and know that I am God!<br> &nbsp; &nbsp; &nbsp;I am exalted among the nations,<br> &nbsp; &nbsp; &nbsp;I am exalted in the earth.”</em></p>","I think for most of us, prayer is something we don’t do nearly enough","https://framerusercontent.com/images/73PCz1fhfwBiQUwuKZBJxpgJjo.jpg","","2023-02-11T00:00:00.000Z","Thea Sanchez"
"questions","Questions","<p>What questions do you desire to bring to God today? </p><p>Questions of discernment?</p><p>Questions of frustration?</p><p>Questions of curiosity, or wonder? </p><p>Today, let your mind dwell on your questions, bringing them to God slowly, with patience. </p><p>Seek the voice of God’s Spirit. </p><p>Do you perceive an answer? </p><p>Are you ready to receive an answer? <a href=""https://www.arcentralchurch.org/central-message/from-thea-sanchez""><br></a></p>","What questions do you desire to bring to God today? ","https://framerusercontent.com/images/fYF0ZN6z2xZdf8hSyby3lKhI.jpg","","2023-02-10T00:00:00.000Z","Steven Hovater"
"prayer-and-candor","Prayer and Candor","<p>“<em>We must lay before him what is in us, <br> not what ought to be in us.</em>”</p><p>- C. S. Lewis</p><p>Lewis is right in the quip above—it will do us no good at all to pretend in prayer to be otherwise than we are. The good news is that God welcomes us to come, just as we are. </p><p>Prayer us a space in which we can take away any masks or illusions—no pretense is necessary. Whether we are happy or in distress, feeling apathetic or convicted, let us go to God in the simple honesty of who we really are in this moment, no matter how raw our emotions may be. The Psalms certainly witness to God’s ability to handle it! </p><p>Let your prayer today stretch towards greater honesty!</p>","“We must lay before him what is in us, not what ought to be in us.” - C. S. Lewis","https://framerusercontent.com/images/HQxijeUdwgNymIzxPbVC01S1fI.jpg","","2023-02-09T00:00:00.000Z","Steven Hovater"
"cain-hagar-and-prayer","Cain, Hagar, and Prayer","<p>It is debatable as to when prayer is first mentioned or introduced in the Biblical text, but most arguments hold that the first prayers consist of humans having access to communicate with God. The creation story naturally comes to mind. But there are two early interactions with God that often are overlooked in studies on prayer. Cain’s conversation with God after murdering his brother and Hagar’s visit from the angel of the Lord in the desert. These two scandalous figures in the text have dialogue with God. </p><p>Perhaps we’ve missed these two important conversations because they are had by “sinners.” What can we learn from a murderer or a woman who for all practical purposes is an adulterer (albeit she was asked to be a surrogate)? </p><p>In both of these conversations (1) God (or an angel of the Lord) initiates the contact, (2) God offers protection. God sees them and comes to them in their worst moments. </p><p>Hagar’s response should get more air time or shareable graphics– “You are the God who sees me, I have now seen the One who sees me.” Access to God is not barricaded. God sees us who have a narrative of shame or who have been scripted as the outcast by our community. </p><p>Our prayers may not always be initiated by us, but may come solely in the gift of God’s protective presence. When we cannot form words, or we fear we are untouchable, God sees us still and we are within God’s loving reach.</p>","It is debatable as to when prayer is first mentioned or introduced in the Biblical text, but most arguments hold that the first prayers consist of humans having access to communicate with God. ","https://framerusercontent.com/images/coJ5Jxd8QWD7D8OdEfgmyKunTI.jpg","","2023-02-08T00:00:00.000Z","Erin Brogdon"
"access","Access","<p>Have you ever had the opportunity to meet a celebrity? Maybe it's a politician or sports figure. For a few moments you interact and have a story to tell about how their generosity, or maybe they didn’t quite live up to your expectations of greatness. </p><p>There is certainly a human attraction to power which draws us to desire access to people with authority. We have been convinced that replicating, or reaching out to the powerful humans we see gains us access to a part of their greatness. This theory is not entirely incorrect, only misplaced. </p><p>In the gospels the overwhelming message is God is here with us in Jesus Christ and he has ultimate authority from God. Even in the first chapter of the New Testament, Matthew places this truth front and central. Jesus is Lord and is with you. More verses in Paul’s letters speak to the authority of Jesus and our access to this authority than any other singular message. For example, take Col 2:9, “<em>For in Christ all the fullness of the Deity lives in bodily form, and in Christ you have been brought to fullness. He is the head over every power and authority.”</em></p><p>Further if we pay attention to Paul’s prayers, we are acutely aware that he urges Christ followers to pray with confidence in our <em>direct</em><strong> </strong><em>access</em> to the supreme and “all-mighty” authority of the universe. There is nothing outside the realm of God’s authority and through Jesus…everything, all creation, has direct access to God.</p><p>Prayer then is our privilege to honor and delight in this access. To listen and to respond to the supreme power of Love in every moment, without ceasing. Prayer is rolling out the welcome mat for God to have access to our lives in response to the access we have to divine love.</p>","Have you ever had the opportunity to meet a celebrity?","https://framerusercontent.com/images/NBpibxv1W5xeOcw5XBUkZ3AQQ.jpg","","2023-02-07T00:00:00.000Z","Erin Brogdon"
"imagination-and-prayer","Imagination and Prayer","<p>Today, move towards your time in prayer with a moment of imagination. Picture Jesus in some space in your world, maybe in your house, or a nearby park. Imagine that you go to him, embrace, and begin to talk about the different things going on in your life. Perhaps you sit and talk over coffee, or maybe you walk together for a while. &nbsp;</p><p>What do you ask the Lord? What does he say? What do you share with him, just to get it off your chest? What do you rush to tell him in excitement? </p><p>Let all of this imaginative work move you to prayer, to praying with the head and heart. Know that Jesus is eager to be present with you today!<a href=""https://www.arcentralchurch.org/central-message/access""><br></a></p>","Today, move towards your time in prayer with a moment of imagination.","https://framerusercontent.com/images/EAgNkm0GZMAcGFxwaKDQyca8NI.jpg","","2023-02-06T00:00:00.000Z","Steven Hovater"
"us","US","<p>It’s often pointed out that the the Lord’s prayer uses “our/we/us” language instead of “my/I/me” language. In your prayers on this Sunday, remember that you pray as part of a body, community. </p><p>Let your prayers be in solidarity with those in the community who are struggling. Pray for your brothers and sisters, that they will grow in Jesus, and be faithful as his disciples. </p><p>Pray that God will bless us and use us to bless others. And give god thanks that he has bound us into a community together in the name of Jesus!</p>","It’s often pointed out that the the Lord’s prayer uses “our/we/us” language instead of “my/I/me” language.","https://framerusercontent.com/images/YgRBymV6kNPKLqyvFZLzOFxpZx0.jpg","","2023-02-05T00:00:00.000Z","Steven Hovater"
"an-intercession-exercise","An Intercession Exercise","<p>Today, bring a friend before God in prayer. Before doing so, spend a little time “walking in their shoes”, thinking through the different situations and experiences of their life and what it might feel like to be in their place. &nbsp;</p><p>Holding your love for them in your heart, let your prayer flow from this, simply holding them up to God in prayer. Remembering that God’s love for them is deep and strong, &nbsp;ask the Lord to bless them. Ask if there is any way that you can be a part of the Lord’s blessing in their life. </p><p>Dwell in your love for them, and in the Lord’s great love for them.<a href=""https://www.arcentralchurch.org/central-message/19ij7n4i1mjlrjmp5g9vg1vjgk4xsi""><br></a></p>","Bring a friend before God in prayer.","https://framerusercontent.com/images/7QqyCpuS15KX8ZUYAInNxcNsVw.jpg","","2023-02-04T00:00:00.000Z","Steven Hovater"
"praying-from-the-gospel","Praying from the Gospel","<p>Today, prepare for prayer by remembering the gospel of Jesus, the one who by his cross and resurrection has given you life. Dwell on this question: <em>What is the gospel to you</em>? &nbsp;</p><p>After doing that for a moment or two, allow your prayer to grow out of this reflection on the gospel. </p><p>We come boldly into prayer because of the gospel of Jesus! By it we are led to gratitude, wonder, and adoration, and we are met in prayer by the embrace of love. The one to whom we pray has rescued us and opened up a way of salvation, because of his great love!<a href=""https://www.arcentralchurch.org/central-message/praying-and-seeing""><br></a></p>","Today, prepare for prayer by remembering the gospel of Jesus, the one who by his cross and resurrection has given you life.","https://framerusercontent.com/images/OxwiNR26btrajo5VdaATk1ZM8A.jpg","","2023-02-02T00:00:00.000Z","Steven Hovater"
"short-prayers-from-scripture","Short Prayers from Scripture","<p>“Be pleased, O God, to deliver me.  O LORD, make haste to help me!”<br>(Psalm 70:1)</p><p>“Turn, O LORD! How long?<br>Have compassion on your servants.”<br>(Psalm 90:13)</p><p>“Do not be far from me,<br>for trouble is near <br>and there is no one to help.”<br>(Psalm 22:11)</p><p>“I believe; help my unbelief!”<br>(Mark 9:24)</p><p>“Lord, help me.”<br>(Matthew 15:25)</p><p>“Here am I, the servant of the Lord; <br>let it be with me according to your word.”<br>(Luke 1:38)</p><p>“My God, my God, why have you forsaken me?”<br>(Mark 15:34)</p><p>“Come, Lord Jesus!”<br>(Revelation 22:20)</p><p><a href=""https://www.arcentralchurch.org/s/Short-Prayers.pdf"">For the Bookmark pdf, click here.</a></p>","“Be pleased, O God, to deliver me. O LORD, make haste to help me!”(Psalm 70:1)","https://framerusercontent.com/images/M3KKUhWwnOBN4vXy84ciaa2kURA.jpg","","2023-02-01T00:00:00.000Z","Steven Hovater"
"teach-us-to-pray","Teach Us To Pray","<p><em>“Lord, teach us to pray.” </em>- Luke 11:1</p><p>Today, begin with a prayer asking the Lord to bring you to himself in prayer, and asking God to teach us as a church community to pray! </p><p>Let us begin with humility, acknowledging that we have much to learn in the way of prayer. An ancient motto of the Benedictines says “Always we begin again.” And so it is: even as we build a habit of prayer, we never master it. We <em>submit</em> to it, or rather in prayer we continually submit ourselves to God. That work is never done, so we always come back, as though we were just beginning, and say, “Lord, teach me as you will.” And…he does. </p><p><em>Lord, teach us to pray!</em><a href=""https://www.arcentralchurch.org/central-message/short-prayers-from-scripture""><br></a></p>","“Lord, teach us to pray.” - Luke 11:1","https://framerusercontent.com/images/LGOc7hVsPNf3ZacsZboIsnY.jpg","","2023-02-01T00:00:00.000Z","Steven Hovater"
"the-table-of-faith","The Table of Faith","<p>The Table of Jesus is a table of faith. The cup reminds us of Jesus’s trust in God—he allowed himself to be poured out, trusting that God would use the gift of his blood for our salvation. </p><p>As we take the cup, we remember that Jesus himself acted in faith—his faith was a complete surrendering of himself to God, trusting in God alone. In allowing his life to be poured out, Jesus gave up his own power and control. He freely laid down his defenses in obedience to God, for the sake of others.</p><p>When we come to the table, we receive the gift that comes to us because of Jesus’s own faith, and are also called to live by faith ourselves. We receive the cup which is Jesus’s blood poured out for our sake, and say to God, “If it is your will, we will be willing to be poured out as well. We again submit our lives to you, trusting you with all that we are.""<a href=""https://www.arcentralchurch.org/central-message/teach-us-to-pray""><br></a></p>","The Table of Jesus is a table of faith.","https://framerusercontent.com/images/idlzxbendnII0a6gY8rSntSiQI.jpg","","2022-12-11T00:00:00.000Z","Steven Hovater"
"what-does-patience-produce","What Does Patience Produce?","<p>What benefit comes from practicing patience? What might God use the exercise of our endurance to produce in us? Might it be a way of God teaching us greater faith, or reliance on him? Might it teach us to seek God’s will more than our own? Might it test and strengthen our resolve? </p><p>Today, let us pray that God will use our longing and waiting for him to refine us according to his will. Let us pray that through our attentive patience, we will be further formed in the image of Jesus!</p>","What benefit comes from practicing patience?","https://framerusercontent.com/images/23YlmXCUMZ3sX6pHZ4XEyIXiC18.jpg","","2022-12-10T00:00:00.000Z","Steven Hovater"
"a-new-heavens-and-a-new-earth","A New Heavens and a New Earth","<p>Meditate on this text:</p><p>“But, in accordance with his promise, we wait for new heavens and a new earth, where righteousness is at home. Therefore, beloved, while you are waiting for these things, strive to be found by him at peace, without spot or blemish; and regard the patience of our Lord as salvation.”<br>(2 Peter 3:13–15 NRSV)<a href=""https://www.arcentralchurch.org/central-message/what-does-patience-produce""><br></a></p>","Meditate on this text","https://framerusercontent.com/images/sISYwbJEjN7UeTMUJFZlaFeGw.jpg","","2022-12-09T00:00:00.000Z","Steven Hovater"
"patient-sowing","Patient Sowing","<p><em>“The farmer waits for the precious crop from the earth, being patient with it until it receives the early and the late rains. You also must be patient. Strengthen your hearts, for the coming of the Lord is near.”<br></em>(James 5:7–8 NRSV)</p><p>James speak of our patient anticipation of Jesus’s return as being like farmers who have to wait to harvest the things they plant. Even after the sowing is done, we may have to pass through many storms in life before we receive a return! Some days we may even forget the seeds that we have buried in the soil, and forget that we are waiting to reap what we’ve sown. </p><p>Today, let your prayers turn to the things you are planting now that will be harvested when Jesus returns. What is it that you are sowing, patiently entrusting them to God?</p>","“The farmer waits for the precious crop from the earth, being patient with it until it receives the early and the late rains. You also must be patient. Strengthen your hearts, for the coming of the Lord is near.” (James 5:7–8 NRSV)","https://framerusercontent.com/images/IxOOIxWzzg06TyXL7RSUIrs.jpg","","2022-12-08T00:00:00.000Z","Steven Hovater"
